ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
2CrbFky8OqqLgbSFoBEUuo,0.787,0.766,1,-4.941,1,0.285,0.0238,0,0.283,0.406,109.164,195971,3,2018,8
6DaVSyaGhUrpT0sSSXKhgD,0.468,0.904,9,-4.277,0,0.0384,0.0135,0.0505,0.17,0.303,174.002,340401,4,2015,23
7rldNiY6em6LIg8LJauLFQ,0.873,0.389,0,-12.658,0,0.428,0.0718,1.32E-05,0.124,0.625,105.094,100765,4,2020,63
2ew7DvOwtMlRdnHTqXfdE7,0.607,0.814,0,-7.969,1,0.365,0.392,0,0.513,0.638,178.494,188720,4,2014,42
3n0sHuVvYaYd4ZNndmxlIm,0.691,0.762,7,-10.291,1,0.103,0.0136,0.853,0.262,0.146,133.989,267187,4,2017,16
2v3pMLZmp0jxs9ikfM85Vf,0.526,0.787,7,-3.688,1,0.152,0.0186,0.0064,0.0902,0.562,174.039,212000,4,2019,29
7krbSH3rd8lhIZvuzTV3Bl,0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,203.932,234107,4,2017,72
0KngufO262EWYQ7MbRBYSX,0.513,0.881,9,-6.455,1,0.0627,0.00157,0.756,0.0731,0.105,140.053,210481,4,2018,5
0pGAvjZWDo7kC8hrnOE9cn,0.556,0.944,9,-2.901,0,0.0443,0.017,1.55E-06,0.197,0.399,150,228800,4,2016,24
6g5ov3aSDUvvDkQKIcmZQI,0.833,0.431,2,-8.992,1,0.178,0.00195,0.000278,0.124,0.385,175.94,270493,4,1997,54
26ZRYkw9VJxILPz7hKEWTP,0.779,0.844,1,-6.91,1,0.0494,0.000329,0.852,0.0836,0.035,135.001,431853,4,2010,8
3u5ji0dH6n5e7vOM2HYmqd,0.658,0.941,10,-11.098,0,0.0521,0.000943,0.774,0.0536,0.349,138.828,204293,4,2012,18
2cGpsrs0iI3IHZfxdwYbrL,0.791,0.796,8,-10.16,1,0.05,0.00486,0.897,0.0772,0.0974,128,485625,4,2017,32
5gkFeGjfH66fHvxBHeee1q,0.358,0.479,1,-8.626,0,0.0427,0.806,0.00305,0.237,0.0395,140.052,165590,4,2018,53
1rpBNextKnV7zh7zELbJek,0.692,0.872,1,-4.476,1,0.231,0.000254,0,0.131,0.404,143.221,155381,4,2019,5
60CtMqVYhd1fuyLKa38MWu,0.795,0.556,8,-8.292,1,0.289,0.591,0,0.358,0.687,141.112,175927,4,2020,7
2wySTH9XfJ0W4r1EZPTbq5,0.358,0.941,9,-1.513,0,0.0447,0.000953,0.492,0.0997,0.148,174.038,258621,4,2018,29
6MFNGgxBFMJ5tbOmAAvPhu,0.747,0.733,7,-3.927,1,0.123,0.16,0,0.0834,0.504,139.966,123429,4,2020,21
5XG6rYkjzPfNIlxC8CEuRZ,0.458,0.953,9,-3.139,0,0.114,0.002,0.00655,0.0535,0.16,174.008,254400,4,2018,8
7sYtgBHnF2D1mgA7vNXig1,0.612,0.87,11,-3.595,1,0.365,0.0172,0,0.389,0.26,106.984,143182,5,2020,50
5hmAWpII87UDJ1INFX6EvC,0.659,0.839,7,-12.36,1,0.048,0.0202,0.817,0.111,0.0374,131.992,414773,4,2018,3
0ZOHvBumqWuEYmLlnq13C5,0.848,0.781,1,-6.146,1,0.272,0.0624,0,0.0992,0.627,195.884,183053,4,2004,9
6BdahyCg03kxKBWuLQKnxY,0.593,0.964,2,-2.012,1,0.0766,5.60E-05,0.776,0.0965,0.11,174.031,262496,4,2019,44
2iZr2jXLBRV03mROONkqX8,0.588,0.959,7,-5.887,1,0.0606,4.18E-05,0.75,0.142,0.516,146.999,467307,4,2008,2
0UlAJtEr9WllQS2lZ45bTg,0.597,0.606,6,-11.292,0,0.0737,0.212,0.00012,0.2,0.208,144.959,172138,4,2019,16
4xrrec9bdpJoslxlICRK5i,0.628,0.85,9,-4.899,1,0.845,0.066,0,0.0963,0.241,124.021,126933,4,2017,22
6sLohu3lQbmMhYVnb6OTvw,0.453,0.894,0,-3.493,0,0.0544,0.0168,0,0.15,0.297,150.126,208052,4,2019,50
4gWGafZOP1sJy1cayf5bpm,0.497,0.981,3,-4.858,0,0.09,0.0006,0.706,0.404,0.0968,137.964,213913,4,2016,12
4pT8ovyHxPXRdXsJ2nZ3Io,0.449,0.874,10,-3.761,1,0.0493,0.0059,0,0.15,0.282,149.842,178708,4,2017,37
76Owc5RT2yEqXJaZyANMGf,0.712,0.896,4,-1.069,1,0.493,0.0079,3.49E-05,0.477,0.412,150.32,230404,4,2018,17
3jVtllWS5CFFWLQng8sKsr,0.742,0.595,9,-7.51,1,0.107,0.15,0,0.111,0.431,202.026,227000,4,2014,71
0edK7iJKqsWgVCpLGIQ8mF,0.644,0.727,4,-5.878,0,0.0445,0.00965,0,0.159,0.0964,170.066,204713,4,2020,24
5UHjWOJA6MDl1g3x2HC68V,0.723,0.758,1,-7.303,0,0.148,0.000588,0,0.357,0.628,131.051,262920,4,2012,52
0jsw6MxIiwKn7ybbWZmblB,0.672,0.942,1,-7.358,1,0.0433,6.76E-05,0.876,0.099,0.548,128.017,393750,4,2015,9
2BuJddFN7NhId9Uvo1vLD4,0.859,0.582,11,-8.637,0,0.152,0.0157,0.71,0.082,0.316,122.988,364000,4,2018,8
18ojYmvDSozSjMye5utu2I,0.708,0.933,5,-5.286,1,0.0507,0.0491,0.219,0.0944,0.933,176.246,300093,4,2003,35
4eBXeo26eXWlK8v4c5ggEL,0.667,0.771,10,-10.397,0,0.0472,0.0795,0.928,0.0964,0.0469,128.997,401860,4,2019,3
2ib1FsA7ZqxZO5CuS79esM,0.568,0.548,0,-7.479,0,0.0538,0.115,8.76E-05,0.156,0.38,155.062,117496,4,2020,33
1hNCcImPmxKV76Uf3MUDRX,0.386,0.93,11,-0.754,1,0.0493,0.00212,0.0206,0.397,0.318,140.01,260571,4,2018,10
2sjYY6RXifCdd9MrDj23Iq,0.795,0.401,7,-9.192,1,0.0519,0.00327,0.0223,0.0578,0.286,125.977,371233,4,2015,38
3SLZ3a9nVUpvzUho5HhxRI,0.674,0.857,9,-6.099,0,0.084,0.000566,0.842,0.165,0.104,139.015,511088,4,2017,16
0g8QZnq21NW49KHCXdXQKO,0.776,0.67,1,-8.545,0,0.21,0.159,0.492,0.157,0.52,173.975,147577,4,2019,57
4FTOpNYcGxnQdGNWSxIcio,0.878,0.417,7,-6.799,1,0.361,0.0444,0,0.0833,0.904,154.98,325573,4,2004,64
1dxPOZxFwTO06ydctl3ji0,0.741,0.943,10,-8.956,0,0.0635,0.116,0.946,0.1,0.0396,130.006,349507,4,2014,7
